Date,spy,ko,pep,usdx
2017-10-24 00:00:00-04:00,0.0017557198532383656,-0.0030269818674535536,-0.008451604574135354,0.00021284345906884072
2017-10-25 00:00:00-04:00,-0.004962441102997525,-0.0028190454988875997,-0.006158953439211816,-0.002664252680974361
2017-10-26 00:00:00-04:00,0.001291741713754216,0.003901307855301563,0.005978043115199963,0.00955828780165139
2017-10-27 00:00:00-04:00,0.008142960508705678,-0.0034672927907421786,-0.0011747188505406455,0.00327122710946803
2017-10-30 00:00:00-04:00,-0.0037319378383754015,-0.004568484096629979,-0.0086265253249252,-0.004540426090529638
2017-10-31 00:00:00-04:00,0.001556731672936494,0.0026132982567284185,0.005275910188756436,0.0006348411945933237
2017-11-01 00:00:00-04:00,0.0013212804324525965,-0.003922561730621779,-0.0009078663097032614,0.0028515268743756527
2017-11-02 00:00:00-04:00,0.0003882912734321302,0.0017450762831364805,-0.000726710367865665,-0.0013719304769413674
2017-11-03 00:00:00-04:00,0.0033329413741559955,0.0019599306649894263,0.0015436187563635409,0.0026367150598698803
2017-11-06 00:00:00-05:00,0.0015464359187516525,-0.010936265949551287,-0.008748070622784968,-0.002319954815239825
2017-11-07 00:00:00-05:00,-0.0006955520231560693,0.010283414935047442,0.011013783126355921,0.0020039287042879104
2017-11-08 00:00:00-05:00,0.0016995346829949201,0.005210622071229468,0.013754605821972077,-0.0004215503716821096
2017-11-09 00:00:00-05:00,-0.003634251794988146,0.001082262356414164,-0.0046532815238527914,-0.004542824287079812
2017-11-10 00:00:00-05:00,-0.0003097812736453131,0.006683066301570002,0.011327576253531384,-0.0005296091981327751
2017-11-13 00:00:00-05:00,0.0009292491775607595,0.0038601202317492395,0.01137631138949705,0.0010588573159490372
2017-11-14 00:00:00-05:00,-0.0023253246752932806,0.015082603531416048,0.014969826254760732,-0.007009332369972878
2017-11-15 00:00:00-05:00,-0.005017794620984657,-0.013158164595415488,-0.005717770520147512,-0.0002132197037069837
2017-11-16 00:00:00-05:00,0.008465116583096588,-0.005569860958346989,0.0011288172361893789,0.0012783931425457498
2017-11-17 00:00:00-05:00,-0.002942990971235713,-0.018209821826866205,-0.004784480465230196,-0.0028785843999633697
2017-11-20 00:00:00-05:00,0.001704868655480538,-0.005484040274486028,0.002003516537743246,0.004474260757626734
2017-11-21 00:00:00-05:00,0.006521465411801682,0.007014385264796493,0.00987203044303365,-0.0013828102363707146
2017-11-22 00:00:00-05:00,-0.000885032931058671,0.0013096396024069761,-0.008393802802297132,-0.007800389337229262
2017-11-24 00:00:00-05:00,0.002307237225329191,0.0008721086450469779,0.007100353800863092,-0.004946768622475652
2017-11-27 00:00:00-05:00,-0.0004994232270316165,0.0004359155871871914,-0.00043154713057990085,0.0015081268277719678
2017-11-28 00:00:00-05:00,0.010093899985005495,-0.001526048170406833,0.007910020946933258,0.0038676520416017508
2017-11-29 00:00:00-05:00,-0.000609018908375275,-0.007226704136505475,0.0005992497306723313,0.0
2017-11-30 00:00:00-05:00,0.008716657049995686,0.014081719748863462,0.0041711717107832565,-0.0026842770642300554
2017-12-01 00:00:00-05:00,-0.002077561399505556,0.0043598714458236215,0.0022287290750213056,-0.0011833749773717253
2017-12-04 00:00:00-05:00,-0.001210764760705003,0.005640216233128514,0.00580609032264066,0.003116783750966722
2017-12-05 00:00:00-05:00,-0.0036029543552245284,0.0006487629079868026,0.0011061421645191538,0.002036714134111687
2017-12-06 00:00:00-05:00,0.00018989664019603694,0.0040986084448345955,0.011078903584696332,0.002460061773974239
2017-12-07 00:00:00-05:00,0.00314824943096292,-0.014529081319246946,-0.018419109426227893,0.0020276666431032725
2017-12-08 00:00:00-05:00,0.005438151030658396,-0.010319478131609806,-0.0013718606517801016,0.0010655139173486616
2017-12-11 00:00:00-05:00,0.0030085552467422243,0.0004411403520057279,0.007009836623124668,-0.0003195268559356809
2017-12-12 00:00:00-05:00,0.0017634515909994136,-0.0008829656574313979,8.511309566517558e-05,0.0024471547675071403
2017-12-13 00:00:00-05:00,-0.0001126336602614288,0.013379187258792384,0.003401278063326836,-0.007145534304608319
2017-12-14 00:00:00-05:00,-0.004094579174063285,0.0028282399008805535,0.0018657983573222238,0.0006419597821738347
2017-12-15 00:00:00-05:00,0.00829289233282666,0.0034698176485901916,0.01011661262613673,0.004695371401998817
2017-12-18 00:00:00-05:00,0.006321293501255635,-0.005644728539398202,-0.009862211883992616,-0.0024516705804720714
2017-12-19 00:00:00-05:00,-0.0038478423343348434,0.0043449092737752205,0.004732387109696049,-0.002457614420591567
2017-12-20 00:00:00-05:00,-0.0005241116560771916,-0.0010843623942171912,0.0034506666407397224,-0.0012846886123828334
2017-12-21 00:00:00-05:00,0.0020575201051115668,-0.010471431744115512,-0.00640569035559752,-0.0007501441262056627
2017-12-22 00:00:00-05:00,-0.000261496276497621,-0.00021904502592643362,0.00287077893468359,0.0007501441262055796
2017-12-26 00:00:00-05:00,-0.0011969907362960632,0.004813564208997543,0.0024422140102511943,-0.0009645393555919329
2017-12-27 00:00:00-05:00,0.00048617181392660426,0.002616365681486475,0.0034427742318078186,-0.0024693056274959005
2017-12-28 00:00:00-05:00,0.002055476054220365,-0.004582874925026497,0.00041890276907544707,-0.004632883484900258
2017-12-29 00:00:00-05:00,-0.0037776400385718945,0.003493401085701927,0.004764578164653911,-0.005197020406212556
2018-01-02 00:00:00-05:00,0.007131886046645524,-0.007437766668706901,-0.015631899943298163,-0.0029353097193388277
2018-01-03 00:00:00-05:00,0.006305250359292167,-0.002198631042054408,-0.0026292520421021333,0.0033694416356018432
